date,user_id,type,value
2019-03-29T12:39:18.269Z,4,sleep,0.16000009
2018-12-08T13:12:07.150Z,54,sleep,2.0
2019-06-12T14:28:24.794Z,17,ruminationStress,3.0
2018-11-06T14:47:54.156Z,7,mood,2.8
2018-10-28T16:56:45.789Z,66,mood,2.4
2018-12-22T20:57:58.839Z,89,sleep,3.48
2018-11-03T13:07:30.496Z,16,mood,0.604490995407
2019-06-09T17:22:59.741Z,24,mood,1.96
2019-06-12T14:28:24.777Z,39,mood,1.95980453491
2018-09-28T16:32:49.376Z,64,sleep,1.89944195747
2019-01-25T20:18:13.421Z,90,mood,4.0
2018-11-09T23:46:49.976Z,46,mood,3.92
2019-04-02T20:02:07.003Z,66,sleep,1.8800001
2018-12-14T14:57:43.663Z,45,sleep,3.72
2019-06-23T20:27:03.436Z,33,sleep,4.0
2018-10-10T12:01:28.414Z,52,sleep,2.3168807029700003
2019-03-11T19:47:18.112Z,94,mood,4.0
2019-03-20T20:08:04.972Z,12,anticipatoryStress,4.0
2019-02-12T14:13:41.423Z,85,mood,3.81651902199
2019-06-13T00:27:10.746Z,34,mood,2.0419030189500003
2019-07-02T12:32:01.594Z,60,sleep,2.88
2018-12-18T15:02:58.215Z,95,mood,3.12
2018-10-16T17:35:27.550Z,22,sleep,3.84
2018-12-13T13:01:13.291Z,83,sleep,3.0
2018-11-26T15:45:23.243Z,1,ruminationStress,3.44
2019-07-23T12:10:33.251Z,21,mood,2.36492681503
2018-11-18T10:50:04.132Z,52,mood,1.0
2019-07-02T12:45:34.408Z,17,mood,1.48
2019-05-01T20:31:02.310Z,29,ruminationStress,0.0
2019-03-06T17:01:02.539Z,39,mood,4.0
2019-02-26T15:28:00.776Z,48,sleep,1.6400001
2019-06-29T21:23:24.089Z,13,sleep,0.79999995
2018-10-01T13:10:35.791Z,52,mood,1.48
2019-05-26T13:05:36.059Z,94,anticipatoryStress,1.91472434998
2018-12-10T16:02:46.511Z,90,mood,1.6800001
2019-05-10T22:47:46.911Z,44,mood,2.8400002
2019-06-23T18:23:08.957Z,52,sleep,3.16
2018-09-09T21:30:24.564Z,80,sleep,3.12
2019-07-09T00:13:28.346Z,29,sleep,1.3011050224299998
2019-05-09T14:05:54.451Z,9,mood,3.0
2019-05-15T13:34:00.607Z,17,sleep,3.24
2018-11-30T14:24:30.132Z,82,sleep,1.8399999
2019-05-22T13:15:41.108Z,59,sleep,4.0
2019-05-26T05:41:39.144Z,99,sleep,4.0
2018-12-14T21:17:30.328Z,40,mood,2.0
2019-02-17T13:25:06.025Z,60,sleep,4.0
2018-11-06T14:47:54.145Z,24,sleep,3.73695397377
2018-09-27T23:46:07.142Z,33,mood,2.12
2019-06-19T14:35:48.419Z,66,mood,3.6595392227199994
2018-11-23T13:23:44.027Z,66,sleep,2.1599998
2018-11-02T14:57:28.545Z,33,mood,2.3200002
2019-06-07T22:50:38.920Z,80,mood,0.79999995
2018-12-14T14:29:10.914Z,78,mood,3.0
2019-03-14T12:01:40.801Z,75,mood,1.5999999
2019-06-14T16:55:42.022Z,33,sleep,1.0088260173799999
2018-11-23T05:03:00.021Z,75,sleep,0.0
2019-05-11T15:19:05.540Z,10,anticipatoryStress,1.29064321518
2019-04-06T14:08:55.244Z,80,sleep,3.48
2019-03-18T12:46:57.316Z,54,sleep,3.0
2019-03-05T14:50:02.462Z,63,sleep,4.0
2019-05-14T13:08:19.348Z,24,sleep,1.5723755359600002
2018-09-18T14:27:22.150Z,30,sleep,3.18015813828
2019-07-22T12:45:16.006Z,2,sleep,2.41798973083
2018-12-09T13:01:43.986Z,60,mood,3.0
2019-06-08T13:12:25.026Z,92,mood,1.52
2019-06-18T23:31:21.290Z,54,mood,1.91950559616
2019-06-21T13:18:47.311Z,73,sleep,4.0
2019-02-03T13:50:31.656Z,68,mood,2.04
2018-12-19T19:25:08.554Z,68,mood,4.0
2019-06-18T18:18:34.514Z,50,mood,2.88342618942
2018-12-04T18:26:54.879Z,55,sleep,0.0
2018-10-22T14:25:01.636Z,33,mood,2.0
2019-06-10T14:53:26.771Z,21,sleep,3.96
2018-11-25T14:39:47.727Z,39,sleep,1.52
